geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
United States,Total,0100000US,1,331097595,0,257883890,3898,309482690,133043,238133935,123072
United States,Not Hispanic or Latino,0100000US,2,269341725,1399,214850730,3580,259536045,48054,206051145,42845
United States,American Indian or Alaska Native Alone,0100000US,3,1845255,7651,1376035,5693,1834980,7626,1366660,5694
United States,Asian Alone,0100000US,4,19078715,22079,15348050,12623,14187670,27112,10911600,21900
United States,Black or African American Alone,0100000US,5,40691100,37996,30950685,19719,39080830,37648,29557590,22323
United States,Native Hawaiian or Other Pacific Islander Alone,0100000US,6,579520,5471,439440,3587,491750,5051,362135,3482
United States,White Alone,0100000US,7,197456990,775,161148760,807,194482730,22062,158456575,18673
United States,American Indian or Alaska Native and White,0100000US,8,1959865,7958,1501580,6753,1954970,7927,1496975,6737
United States,Asian and White,0100000US,9,2603270,23014,1390540,12423,2477240,23371,1292705,12682
United States,Black or African American and White,0100000US,10,3304420,29256,1523940,14944,3250900,28677,1477665,14290
United States,American Indian or Alaska Native and Black or African American,0100000US,11,318705,6400,242540,5363,316520,6448,240500,5419
United States,Remainder of Two or More Race Responses,0100000US,12,1503885,17804,929155,11268,1458460,17985,888750,11451
United States,Hispanic or Latino,0100000US,13,61755865,1347,43033160,2057,49946640,96605,32082790,89188
